Combined_Key	Country_Region	Population
Rheinland-Pfalz, Germany	Germany	4084844
Saarland, Germany	Germany	990509
Sachsen, Germany	Germany	4077937
Sachsen-Anhalt, Germany	Germany	2208321
Schleswig-Holstein, Germany	Germany	2896712
Thuringen, Germany	Germany	2143145
Unknown, Germany	Germany	NA
Ghana	Ghana	31072945
Greece	Greece	10423056
Grenada	Grenada	112519
Guatemala	Guatemala	17915567
Guinea	Guinea	13132792
Guinea-Bissau	Guinea-Bissau	1967998
Guyana	Guyana	786559
Haiti	Haiti	11402533
Holy See	Holy See	809
Honduras	Honduras	9904608
Hungary	Hungary	9660350
Iceland	Iceland	341250
India	India	1380004385
Andaman and Nicobar Islands, India	India	417036
Andhra Pradesh, India	India	53903393
Arunachal Pradesh, India	India	1570458
Assam, India	India	35607039
Bihar, India	India	124799926
Chandigarh, India	India	1158473
Chhattisgarh, India	India	29436231
Dadra and Nagar Haveli and Daman and Diu, India	India	615724
Delhi, India	India	18710922
Goa, India	India	1586250
Gujarat, India	India	63872399
Haryana, India	India	28204692
Himachal Pradesh, India	India	7451955
Jammu and Kashmir, India	India	13606320
Jharkhand, India	India	38593948
Karnataka, India	India	67562686
Kerala, India	India	35699443
Ladakh, India	India	274289
Madhya Pradesh, India	India	85358965
Maharashtra, India	India	123144223
Manipur, India	India	3091545
Meghalaya, India	India	3366710
Mizoram, India	India	1239244
Nagaland, India	India	2249695
Odisha, India	India	46356334
Puducherry, India	India	1413542
Punjab, India	India	30141373
Rajasthan, India	India	81032689
Sikkim, India	India	690251
Tamil Nadu, India	India	77841267
Telangana, India	India	39362732
Tripura, India	India	4169794
Uttar Pradesh, India	India	237882725
Uttarakhand, India	India	11250858
West Bengal, India	India	99609303
Unknown, India	India	NA
Lakshadweep, India	India	64429
Indonesia	Indonesia	273523621
Iran	Iran	83992953
Iraq	Iraq	40222503
Ireland	Ireland	4937796
Israel	Israel	8655541
Italy	Italy	60461828
Abruzzo, Italy	Italy	1311580
Basilicata, Italy	Italy	562869
Calabria, Italy	Italy	1947131
Campania, Italy	Italy	5801692
Emilia-Romagna, Italy	Italy	4459477
Friuli Venezia Giulia, Italy	Italy	1215220
Lazio, Italy	Italy	5879082
Liguria, Italy	Italy	1550640
Lombardia, Italy	Italy	10060574
Marche, Italy	Italy	1525271
Molise, Italy	Italy	305617
P.A. Bolzano, Italy	Italy	532318
P.A. Trento, Italy	Italy	541418
Piemonte, Italy	Italy	4356406
Puglia, Italy	Italy	4029053
Sardegna, Italy	Italy	1639591
Sicilia, Italy	Italy	4999891
Toscana, Italy	Italy	3729641
Umbria, Italy	Italy	882015
Valle d'Aosta, Italy	Italy	125666
Veneto, Italy	Italy	4905854
Jamaica	Jamaica	2961161
Japan	Japan	126476458
Aichi, Japan	Japan	7552239
Akita, Japan	Japan	966490
Aomori, Japan	Japan	1246371
Chiba, Japan	Japan	6259382
Ehime, Japan	Japan	1339215
Fukui, Japan	Japan	767937
Fukuoka, Japan	Japan	5103679
Fukushima, Japan	Japan	1845519
Gifu, Japan	Japan	1986587
Gunma, Japan	Japan	1942456
Hiroshima, Japan	Japan	2804177
Hokkaido, Japan	Japan	5250049
Hyogo, Japan	Japan	5466190
Ibaraki, Japan	Japan	2860307
Ishikawa, Japan	Japan	1137649
Iwate, Japan	Japan	1226816
Kagawa, Japan	Japan	956347
Kagoshima, Japan	Japan	1602273
Kanagawa, Japan	Japan	9198268
Kochi, Japan	Japan	698029
Kumamoto, Japan	Japan	1747567
Kyoto, Japan	Japan	2582957
Mie, Japan	Japan	1780882
Miyagi, Japan	Japan	2306365
Miyazaki, Japan	Japan	1073301
Nagano, Japan	Japan	2048790
Nagasaki, Japan	Japan	1326524
Nara, Japan	Japan	1330123
Niigata, Japan	Japan	2223106
Oita, Japan	Japan	1135434
Okayama, Japan	Japan	1889586
Okinawa, Japan	Japan	1453168
Osaka, Japan	Japan	8809363
Saga, Japan	Japan	814711
Saitama, Japan	Japan	7349693
Shiga, Japan	Japan	1413943
Shimane, Japan	Japan	674346
Shizuoka, Japan	Japan	3643528
Tochigi, Japan	Japan	1933990
Tokushima, Japan	Japan	727977
Tokyo, Japan	Japan	13920663
Tottori, Japan	Japan	555558
Toyama, Japan	Japan	1043502
Wakayama, Japan	Japan	924933
Yamagata, Japan	Japan	1077666
Yamaguchi, Japan	Japan	1358336
Yamanashi, Japan	Japan	810956
Port Quarantine, Japan	Japan	NA
Unknown, Japan	Japan	NA
Jordan	Jordan	10203140
Kazakhstan	Kazakhstan	18776707
Kenya	Kenya	53771300
Korea, South	Korea, South	51269183
Kosovo	Kosovo	1810366
Kuwait	Kuwait	4270563
Kyrgyzstan	Kyrgyzstan	6524191
Laos	Laos	7275556
Latvia	Latvia	1886202
Lebanon	Lebanon	6825442
Lesotho	Lesotho	2142252
Liberia	Liberia	5057677
Libya	Libya	6871287
Liechtenstein	Liechtenstein	38137
Lithuania	Lithuania	2722291
Luxembourg	Luxembourg	625976
Madagascar	Madagascar	27691019
Malawi	Malawi	19129955
Malaysia	Malaysia	32365998
Maldives	Maldives	540542
Mali	Mali	20250834
Malta	Malta	441539
Marshall Islands	Marshall Islands	58413
Mauritania	Mauritania	4649660
Mauritius	Mauritius	1271767
Mexico	Mexico	127792286
Aguascalientes, Mexico	Mexico	1434635
Baja California, Mexico	Mexico	3634868
Baja California Sur, Mexico	Mexico	804708
Campeche, Mexico	Mexico	1000617
Chiapas, Mexico	Mexico	5730367
Chihuahua, Mexico	Mexico	3801487
Ciudad de Mexico, Mexico	Mexico	9018645
Coahuila, Mexico	Mexico	3218720
Colima, Mexico	Mexico	785153
Durango, Mexico	Mexico	1868996
Guanajuato, Mexico	Mexico	6228175
Guerrero, Mexico	Mexico	3657048
Hidalgo, Mexico	Mexico	3086414
Jalisco, Mexico	Mexico	8409693
Mexico, Mexico	Mexico	17427790
Michoacan, Mexico	Mexico	4825401
Morelos, Mexico	Mexico	2044058
Nayarit, Mexico	Mexico	1288571
Nuevo Leon, Mexico	Mexico	5610153
Oaxaca, Mexico	Mexico	4143593
Puebla, Mexico	Mexico	6604451
Queretaro, Mexico	Mexico	2279637
Quintana Roo, Mexico	Mexico	1723259
San Luis Potosi, Mexico	Mexico	2866142
Sinaloa, Mexico	Mexico	3156674
Sonora, Mexico	Mexico	3074745
Tabasco, Mexico	Mexico	2572287
Tamaulipas, Mexico	Mexico	3650602
Tlaxcala, Mexico	Mexico	1380011
Veracruz, Mexico	Mexico	8539862
Yucatan, Mexico	Mexico	2259098
Zacatecas, Mexico	Mexico	1666426
Unknown, Mexico	Mexico	NA
Micronesia	Micronesia	113815
Moldova	Moldova	4033963
Monaco	Monaco	39244
Mongolia	Mongolia	3278292
Montenegro	Montenegro	628062
Morocco	Morocco	36910558
Mozambique	Mozambique	31255435
MS Zaandam	MS Zaandam	NA
Namibia	Namibia	2540916
Nepal	Nepal	29136808
Netherlands	Netherlands	17134873
Drenthe, Netherlands	Netherlands	493682
Flevoland, Netherlands	Netherlands	423021
Friesland, Netherlands	Netherlands	649957
Gelderland, Netherlands	Netherlands	2085952
Groningen, Netherlands	Netherlands	585866
Limburg, Netherlands	Netherlands	1117201
Noord-Brabant, Netherlands	Netherlands	2562955
Noord-Holland, Netherlands	Netherlands	2879527
Overijssel, Netherlands	Netherlands	1162406
Utrecht, Netherlands	Netherlands	1354834
Zeeland, Netherlands	Netherlands	383488
Zuid-Holland, Netherlands	Netherlands	3708696
Unknown, Netherlands	Netherlands	NA
Aruba, Netherlands	Netherlands	106766
Curacao, Netherlands	Netherlands	164100
Sint Maarten, Netherlands	Netherlands	42882
Bonaire, Sint Eustatius and Saba, Netherlands	Netherlands	26221
New Zealand	New Zealand	4822233
Nicaragua	Nicaragua	6624554
Niger	Niger	24206636
Nigeria	Nigeria	206139587
Abia, Nigeria	Nigeria	3727347
Adamawa, Nigeria	Nigeria	4248436
Akwa Ibom, Nigeria	Nigeria	5482177
Anambra, Nigeria	Nigeria	5527809
Bauchi, Nigeria	Nigeria	6537314
Bayelsa, Nigeria	Nigeria	2277961
Benue, Nigeria	Nigeria	5741815
Borno, Nigeria	Nigeria	5860183
Cross River, Nigeria	Nigeria	3866269
Delta, Nigeria	Nigeria	5663362
Ebonyi, Nigeria	Nigeria	2880383
Edo, Nigeria	Nigeria	4235595
Ekiti, Nigeria	Nigeria	3270798
Enugu, Nigeria	Nigeria	4411119
Federal Capital Territory, Nigeria	Nigeria	3564126
Gombe, Nigeria	Nigeria	3256962
Imo, Nigeria	Nigeria	5408756
Jigawa, Nigeria	Nigeria	5828163
Kaduna, Nigeria	Nigeria	8252366
Kano, Nigeria	Nigeria	13076892
Katsina, Nigeria	Nigeria	7831319
Kebbi, Nigeria	Nigeria	4440050
Kogi, Nigeria	Nigeria	4473490
Kwara, Nigeria	Nigeria	3192893
Lagos, Nigeria	Nigeria	12550598
Nasarawa, Nigeria	Nigeria	2523395
Niger, Nigeria	Nigeria	5556247
Ogun, Nigeria	Nigeria	5217716
Ondo, Nigeria	Nigeria	4671695
Osun, Nigeria	Nigeria	4705589
Oyo, Nigeria	Nigeria	7840864
Plateau, Nigeria	Nigeria	4200442
Rivers, Nigeria	Nigeria	7303924
Sokoto, Nigeria	Nigeria	4998090
Taraba, Nigeria	Nigeria	3066834
Yobe, Nigeria	Nigeria	3294137
Zamfara, Nigeria	Nigeria	4515427
Unknown, Nigeria	Nigeria	NA
North Macedonia	North Macedonia	2083380
Norway	Norway	5421242
Oman	Oman	5106622
Pakistan	Pakistan	220892331
Azad Jammu and Kashmir, Pakistan	Pakistan	4045366
Balochistan, Pakistan	Pakistan	12344408
Gilgit-Baltistan, Pakistan	Pakistan	1013584
Islamabad, Pakistan	Pakistan	2006572
Khyber Pakhtunkhwa, Pakistan	Pakistan	30523371
Punjab, Pakistan	Pakistan	110012442
Sindh, Pakistan	Pakistan	47886051
Unknown, Pakistan	Pakistan	NA
Palau	Palau	18008
Panama	Panama	4314768
Papua New Guinea	Papua New Guinea	8947027
Paraguay	Paraguay	7132530
Peru	Peru	32971846
Amazonas, Peru	Peru	426800
Ancash, Peru	Peru	1180600
Apurimac, Peru	Peru	430700
Arequipa, Peru	Peru	1497400
Ayacucho, Peru	Peru	668200
Cajamarca, Peru	Peru	1453700
Callao, Peru	Peru	1129900
Cusco, Peru	Peru	1357100
Huancavelica, Peru	Peru	365300
Huanuco, Peru	Peru	760300
Ica, Peru	Peru	975200
Junin, Peru	Peru	1361500
La Libertad, Peru	Peru	2016800
Lambayeque, Peru	Peru	1310800
Lima, Peru	Peru	10628500
Loreto, Peru	Peru	1027600
Madre de Dios, Peru	Peru	173800
Moquegua, Peru	Peru	192700
Pasco, Peru	Peru	271900
Piura, Peru	Peru	2048000
Puno, Peru	Peru	1238000
San Martin, Peru	Peru	899600
Tacna, Peru	Peru	371000
Tumbes, Peru	Peru	251500
Ucayali, Peru	Peru	589100
Unknown, Peru	Peru	NA
Philippines	Philippines	109581085
Poland	Poland	37846605
Dolnoslaskie, Poland	Poland	2901225
Kujawsko-pomorskie, Poland	Poland	2077775
Lubelskie, Poland	Poland	2117619
Lubuskie, Poland	Poland	1014548
Lodzkie, Poland	Poland	2466322
Malopolskie, Poland	Poland	3400577
Mazowieckie, Poland	Poland	5403412
Opolskie, Poland	Poland	986506
Podkarpackie, Poland	Poland	2129015
Podlaskie, Poland	Poland	1181533
Pomorskie, Poland	Poland	2333523
Slaskie, Poland	Poland	4533565
Swietokrzyskie, Poland	Poland	1241546
Warminsko-mazurskie, Poland	Poland	1428983
Wielkopolskie, Poland	Poland	3493969
Zachodniopomorskie, Poland	Poland	1701030
Portugal	Portugal	10196707
Qatar	Qatar	2881060
Romania	Romania	19237682
Russia	Russia	145934460
Adygea Republic, Russia	Russia	453376
Altai Krai, Russia	Russia	2350080
Altai Republic, Russia	Russia	218063
Amur Oblast, Russia	Russia	798424
Arkhangelsk Oblast, Russia	Russia	1155028
Astrakhan Oblast, Russia	Russia	1017514
Bashkortostan Republic, Russia	Russia	4063293
Belgorod Oblast, Russia	Russia	1549876
Bryansk Oblast, Russia	Russia	1210982
Buryatia Republic, Russia	Russia	984511
Chechen Republic, Russia	Russia	1436981
Chelyabinsk Oblast, Russia	Russia	3493036
Chukotka Autonomous Okrug, Russia	Russia	49348
Chuvashia Republic, Russia	Russia	1231117
Dagestan Republic, Russia	Russia	3063885
Ingushetia Republic, Russia	Russia	488043
Irkutsk Oblast, Russia	Russia	2404195
Ivanovo Oblast, Russia	Russia	1014646
Jewish Autonomous Okrug, Russia	Russia	162014
Kabardino-Balkarian Republic, Russia	Russia	865828
Kaliningrad Oblast, Russia	Russia	994599
Kalmykia Republic, Russia	Russia	275413
Kaluga Oblast, Russia	Russia	1012056
Kamchatka Krai, Russia	Russia	315557
Karachay-Cherkess Republic, Russia	Russia	466305
Karelia Republic, Russia	Russia	622484
Kemerovo Oblast, Russia	Russia	2694877
Khabarovsk Krai, Russia	Russia	1328302
Khakassia Republic, Russia	Russia	537513
Khanty-Mansi Autonomous Okrug, Russia	Russia	1532243
Kirov Oblast, Russia	Russia	1283238
Komi Republic, Russia	Russia	840873
Kostroma Oblast, Russia	Russia	643324
Krasnodar Krai, Russia	Russia	5603420
Krasnoyarsk Krai, Russia	Russia	2876497
Kurgan Oblast, Russia	Russia	845537
Kursk Oblast, Russia	Russia	1115237
Leningrad Oblast, Russia	Russia	1813816
Lipetsk Oblast, Russia	Russia	1150201
Magadan Oblast, Russia	Russia	144091
Mari El Republic, Russia	Russia	682333
Mordovia Republic, Russia	Russia	805056
Moscow, Russia	Russia	12506468
Moscow Oblast, Russia	Russia	7503385
Murmansk Oblast, Russia	Russia	753557
Nenets Autonomous Okrug, Russia	Russia	43997
Nizhny Novgorod Oblast, Russia	Russia	3234752
North Ossetia - Alania Republic, Russia	Russia	701765
Novgorod Oblast, Russia	Russia	606476
Novosibirsk Oblast, Russia	Russia	2788849
Omsk Oblast, Russia	Russia	1960081
Orel Oblast, Russia	Russia	747247
Orenburg Oblast, Russia	Russia	1977720
Penza Oblast, Russia	Russia	1331655
Perm Krai, Russia	Russia	2623122
Primorsky Krai, Russia	Russia	1913037
Pskov Oblast, Russia	Russia	636546
Rostov Oblast, Russia	Russia	4220452
Ryazan Oblast, Russia	Russia	1121474
Saint Petersburg, Russia	Russia	5351935
Sakha (Yakutiya) Republic, Russia	Russia	964330
Sakhalin Oblast, Russia	Russia	490181
Samara Oblast, Russia	Russia	3193514
Saratov Oblast, Russia	Russia	2462950
Smolensk Oblast, Russia	Russia	949348
Stavropol Krai, Russia	Russia	2800674
Sverdlovsk Oblast, Russia	Russia	4325256
Tambov Oblast, Russia	Russia	1033552
Tatarstan Republic, Russia	Russia	3894284
Tomsk Oblast, Russia	Russia	1078280
Tula Oblast, Russia	Russia	1491855
Tver Oblast, Russia	Russia	1283873
Tyumen Oblast, Russia	Russia	3692400
Tyva Republic, Russia	Russia	321722
Udmurt Republic, Russia	Russia	1513044
Ulyanovsk Oblast, Russia	Russia	1246618
Vladimir Oblast, Russia	Russia	1378337
Volgograd Oblast, Russia	Russia	2521276
Vologda Oblast, Russia	Russia	1176689
Voronezh Oblast, Russia	Russia	2333768
Yamalo-Nenets Autonomous Okrug, Russia	Russia	538547
Yaroslavl Oblast, Russia	Russia	1265684
Zabaykalsky Krai, Russia	Russia	1072806
Unknown, Russia	Russia	NA
Rwanda	Rwanda	12952209
Saint Kitts and Nevis	Saint Kitts and Nevis	53192
Saint Lucia	Saint Lucia	183629
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	110947
Samoa	Samoa	196130
San Marino	San Marino	33938
Sao Tome and Principe	Sao Tome and Principe	219161
Saudi Arabia	Saudi Arabia	34813867
Senegal	Senegal	16743930
Serbia	Serbia	8737370
Seychelles	Seychelles	98340
Sierra Leone	Sierra Leone	7976985
Singapore	Singapore	5850343
Slovakia	Slovakia	5459643
Slovenia	Slovenia	2078932
Solomon Islands	Solomon Islands	652858
Somalia	Somalia	15893219
South Africa	South Africa	59308690
South Sudan	South Sudan	11193729
Spain	Spain	46754783
Andalusia, Spain	Spain	8427405
Aragon, Spain	Spain	1320586
Asturias, Spain	Spain	1022205
Baleares, Spain	Spain	1188220
Canarias, Spain	Spain	2206901
Cantabria, Spain	Spain	581641
Castilla - La Mancha, Spain	Spain	2034877
Castilla y Leon, Spain	Spain	2407733
Catalonia, Spain	Spain	7566431
Ceuta, Spain	Spain	84829
C. Valenciana, Spain	Spain	4974969
Extremadura, Spain	Spain	1065424
Galicia, Spain	Spain	2700441
Madrid, Spain	Spain	6641649
Melilla, Spain	Spain	84689
Murcia, Spain	Spain	1487663
Navarra, Spain	Spain	649946
Pais Vasco, Spain	Spain	2177880
La Rioja, Spain	Spain	313571
Unknown, Spain	Spain	NA
Sri Lanka	Sri Lanka	21413250
Sudan	Sudan	43849269
Suriname	Suriname	586634
Sweden	Sweden	10099270
Blekinge, Sweden	Sweden	159606
Dalarna, Sweden	Sweden	287966
Gavleborg, Sweden	Sweden	287382
Gotland, Sweden	Sweden	59686
Halland, Sweden	Sweden	333848
Jamtland Harjedalen, Sweden	Sweden	130810
Jonkoping, Sweden	Sweden	363599
Kalmar, Sweden	Sweden	245446
Kronoberg, Sweden	Sweden	201469
Norrbotten, Sweden	Sweden	250093
Orebro, Sweden	Sweden	304805
Ostergotland, Sweden	Sweden	465495
Skane, Sweden	Sweden	1377827
Sormland, Sweden	Sweden	297540
Stockholm, Sweden	Sweden	2377081
Uppsala, Sweden	Sweden	383713
Varmland, Sweden	Sweden	282414
Vasterbotten, Sweden	Sweden	271736
Vasternorrland, Sweden	Sweden	245347
Vastmanland, Sweden	Sweden	275845
Vastra Gotaland, Sweden	Sweden	1725881
Unknown, Sweden	Sweden	NA
Switzerland	Switzerland	8654618
Syria	Syria	17500657
Taiwan*	Taiwan*	23816775
Tajikistan	Tajikistan	9537642
Tanzania	Tanzania	59734213
Thailand	Thailand	69799978
Timor-Leste	Timor-Leste	1318442
Togo	Togo	8278737
Trinidad and Tobago	Trinidad and Tobago	1399491
Tunisia	Tunisia	11818618
Turkey	Turkey	84339067
Uganda	Uganda	45741000
Ukraine	Ukraine	43733759
Cherkasy Oblast, Ukraine	Ukraine	1206351
Chernihiv Oblast, Ukraine	Ukraine	1005745
Chernivtsi Oblast, Ukraine	Ukraine	904374
Crimea Republic*, Ukraine	Ukraine	1913731
Dnipropetrovsk Oblast, Ukraine	Ukraine	3206477
Donetsk Oblast, Ukraine	Ukraine	4165901
Ivano-Frankivsk Oblast, Ukraine	Ukraine	1373252
Kharkiv Oblast, Ukraine	Ukraine	2675598
Kherson Oblast, Ukraine	Ukraine	1037640
Khmelnytskyi Oblast, Ukraine	Ukraine	1264705
Kiev, Ukraine	Ukraine	2950800
Kiev Oblast, Ukraine	Ukraine	1767940
Kirovohrad Oblast, Ukraine	Ukraine	945549
Luhansk Oblast, Ukraine	Ukraine	2151833
Lviv Oblast, Ukraine	Ukraine	2522021
Mykolaiv Oblast, Ukraine	Ukraine	2522021
Odessa Oblast, Ukraine	Ukraine	2380308
Poltava Oblast, Ukraine	Ukraine	1400439
Rivne Oblast, Ukraine	Ukraine	1157301
Sevastopol*, Ukraine	Ukraine	443211
Sumy Oblast, Ukraine	Ukraine	1081418
Ternopil Oblast, Ukraine	Ukraine	1045879
Vinnytsia Oblast, Ukraine	Ukraine	1560394
Volyn Oblast, Ukraine	Ukraine	1035330
Zakarpattia Oblast, Ukraine	Ukraine	1256802
Zaporizhia Oblast, Ukraine	Ukraine	1705836
Zhytomyr Oblast, Ukraine	Ukraine	1220193
Unknown, Ukraine	Ukraine	NA
United Arab Emirates	United Arab Emirates	9890400
United Kingdom	United Kingdom	67886004
England, United Kingdom	United Kingdom	55977200
Northern Ireland, United Kingdom	United Kingdom	1881600
Scotland, United Kingdom	United Kingdom	5463300
Wales, United Kingdom	United Kingdom	3138600
Unknown, United Kingdom	United Kingdom	NA
Bermuda, United Kingdom	United Kingdom	62273
British Virgin Islands, United Kingdom	United Kingdom	30237
Cayman Islands, United Kingdom	United Kingdom	65720
Channel Islands, United Kingdom	United Kingdom	170499
Falkland Islands (Malvinas), United Kingdom	United Kingdom	3483
Gibraltar, United Kingdom	United Kingdom	33691
Isle of Man, United Kingdom	United Kingdom	85032
Montserrat, United Kingdom	United Kingdom	4999
Turks and Caicos Islands, United Kingdom	United Kingdom	38718
Anguilla, United Kingdom	United Kingdom	15002
Saint Helena, Ascension and Tristan da Cunha, United Kingdom	United Kingdom	5661
Uruguay	Uruguay	3473727
Uzbekistan	Uzbekistan	33469199
Vanuatu	Vanuatu	292680
Venezuela	Venezuela	28435943
Vietnam	Vietnam	97338583
West Bank and Gaza	West Bank and Gaza	5101416
Western Sahara	Western Sahara	597330
Yemen	Yemen	29825968
Zambia	Zambia	18383956
Zimbabwe	Zimbabwe	14862927
Australia	Australia	25459700
Australian Capital Territory, Australia	Australia	428100
New South Wales, Australia	Australia	8118000
Northern Territory, Australia	Australia	245600
Queensland, Australia	Australia	5115500
South Australia, Australia	Australia	1756500
Tasmania, Australia	Australia	535500
Victoria, Australia	Australia	6629900
Western Australia, Australia	Australia	2630600
Canada	Canada	37855702
Alberta, Canada	Canada	4413146
British Columbia, Canada	Canada	5110917
Manitoba, Canada	Canada	1377517
New Brunswick, Canada	Canada	779993
Newfoundland and Labrador, Canada	Canada	521365
Northwest Territories,Canada	Canada	44904
